,0
stage_num,0.055201698513800454
age,0.0032150439793751985
C8orf47,0.0004246284501062014
C19orf77,0.0016985138004246502
PLEKHG4B,-0.00527752502274792
MUC5B,-0.001334546557476446
ITGA8,-0.002972399150743077
PSORS1C3,-0.0020624810433727213
ELN,-0.0007885956930542947
ACTC1,0.0029723991507431212
ZFP57,0.00054595086442224
EREG,0.002972399150743166
IGF2BP3,0.000788595693054317
DPP6,0.0016985138004246725
ITPKA,0.0055201698513800855
ANXA8,0.000606612071580237
HAPLN1,-0.0020624810433726992
TPSD1,0.004124962086745554
SPDEF,-0.0005459508644221733
HMGCS2,-0.00018198362147403557
CYP3A7,0.004185623293903573
RGS20,-0.001516530178950526
MGAM,-0.0018804974218986636
TF,0.0006672732787383007
CPXM2,0.0015771913861086118
FGB,-0.00024264482863205482
SLC12A3,0.0011525629360024548
CORO6,-0.0012132241431604073
LIPG,-0.0007279344858962311
FGG,-0.0013952077646344873
ITIH4,0.006430087958750397
SNURF,-0.0019411586290566606
TFPI2,-0.0011525629360024103
SLC16A12,-0.0027904155292689968
LDHC,0.0016378525932666532
KRT6A,0.0011525629360024324
PDK4,-0.007036700030330567
CXCL1,0.0035790112223233806
LOC339535,0.0004852896572641985
GRIA3,-0.0027904155292689968
